nameOld,nameNew,matchType
catalog_number,catalogNumber,Darwinized
collection_code,collectionCode,Darwinized
country,country,Darwinized
county,county,Darwinized
custodial_institution_codes,institutionCode,Darwinized
dataowner,ownerInstitutionCode,Darwinized
dataset,datasetName,Darwinized
datasource,collectionID,Darwinized
datasource_id,datasetID,Darwinized
date_collected,verbatimEventDate,Darwinized
date_identified,dateIdentified,Darwinized
elevation_m,verbatimElevation,Darwinized
identification_remarks,identificationRemarks,Darwinized
identified_by,identifiedBy,Darwinized
latitude,decimalLatitude,Darwinized
locality,verbatimLocality,Darwinized
longitude,decimalLongitude,Darwinized
observation_type,basisOfRecord,Darwinized
record_number,recordNumber,Darwinized
recorded_by,recordedBy,Darwinized
scrubbed_taxonomic_status,taxonomicStatus,Darwinized
state_province,stateProvince,Darwinized
verbatim_family,family,Darwinized
verbatim_scientific_name,scientificName,Darwinized
